acc_img_code,acm_code,room_code,acc_img_origin_name,acc_img_save_name,acc_img_extension,acc_img_url
1,1,,대표 사진,대표 사진,.jpg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)
2,1,,전경,전경,.jpg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)
3,1,1,mosaaBELUZ,mosaaBELUZ,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
4,1,1,mosabRW70G,mosabRW70G,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
5,1,1,mosabXBWsY,mosabXBWsY,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
6,1,1,mosaDEf1dN,mosaDEf1dN,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
7,1,1,mosaEhsudN,mosaEhsudN,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
8,1,1,mosalCfaYK,mosalCfaYK,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
9,1,1,mosaM2oBkg,mosaM2oBkg,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
10,1,1,mosaQfCMSr,mosaQfCMSr,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
11,1,1,mosaR9tIbK,mosaR9tIbK,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
12,1,1,mosarJVWdb,mosarJVWdb,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
13,1,1,mosarrK9QL,mosarrK9QL,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
14,1,1,mosaVJH0Jl,mosaVJH0Jl,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
15,1,1,mosaXiuRvO,mosaXiuRvO,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
16,1,1,mosaZxWuo2,mosaZxWuo2,.jpeg,/accomodation_img/1 아바니호텔(A+VANI HOTEL&PLAY)/room_img/1 AVANI_DELUXE
