room_code,acm_code,room_name,room_type,total_rooms,room_capacity,room_max_capacity,check_in_time,check_out_time,room_weekday_price,room_weekend_price,peak_season_weekday_price,peak_season_weekend_price,room_info,room_amenities,room_status
1,1,AVANI DELUXE,,2,2,2,15:00,12:00,80000,180000,,,숙박 | 체크인 15:00 - 체크아웃 12:00,,1
2,1,SUITE ROOM WITH MOVIE AND SPA,,3,2,4,15:00,12:00,150000,250000,,,숙박 | 체크인 15:00 - 체크아웃 12:00,,1
3,1,5PC GAMING PARTY ROOM,,2,5,6,15:00,12:00,150000,250000,,,숙박 | 체크인 15:00 - 체크아웃 12:00,,1
4,2,디럭스 더블,,3,2,2,15:00,12:00,423500,423500,,,숙박 | 체크인 15:00 - 체크아웃 12:00%%2인 기준 최대 2인%%더블침대 1개%%객실+욕실 / 10.2평,"침대, TV, 에어컨, 티테이블, 의자, 미니바, 다리미, 다리미판, 문구류, 욕실용품, 헤어드라이기",1
5,2,2베드룸 레지던스,,2,3,3,15:00,12:00,363000,363000,,,"숙박 | 체크인 15:00 - 체크아웃 12:00%%3인 기준 최대 3인%%싱글침대 1개, 더블침대 1개%%객실+주방 및 거실+욕실 / 29.04평","추가정보%%취사가능%%%%편의시설%%TV, 식탁, 책상 및 의자, 냉장고",1
6,2,3베드룸 레지던스,,4,4,4,15:00,12:00,423500,423500,,,"숙박 | 체크인 15:00 - 체크아웃 12:00%%4인 기준 최대 4인%%싱글침대 2개, 더블침대 1개%%객실3+거실+주방+욕실2 / 42.05평","추가정보%%취사가능%%%%편의시설%%TV, 식탁, 책상, 의자, 냉장고",1
7,3,A-타입,,4,2,2,17:00,14:00,50000,70000,70000,,숙박 | 체크인 17:00 - 체크아웃 14:00,,1
8,3,B-타입,,3,2,2,17:00,14:00,45000,60000,,,숙박 | 체크인 17:00 - 체크아웃 14:00,,1
9,3,특실,,2,2,2,17:00,14:00,70000,130000,,,숙박 | 체크인 17:00 - 체크아웃 14:00,,1
10,3,VIP,,1,2,2,18:00,12:00,200000,250000,,,숙박 | 체크인 18:00 - 체크아웃 12:00,,1
11,3,VVIP,,2,4,4,17:00,14:00,300000,350000,,,숙박 | 체크인 17:00 - 체크아웃 14:00,,1
12,3,커플PC ROOM,,3,2,2,17:00,14:00,55000,75000,,,숙박 | 체크인 17:00 - 체크아웃 14:00,,1
13,4,일반,,5,2,2,20:00,14:00,120000,120000,,,숙박 | 체크인 20:00 - 체크아웃 14:00,,1
14,4,특실,,2,2,3,20:00,14:00,140000,140000,,,숙박 | 체크인 20:00 - 체크아웃 14:00,,1
15,5,디럭스,더블,4,2,2,20:00,14:00,60000,110000,,,숙박 | 체크인 20:00 - 체크아웃 15:00,,1
16,5,디럭스,트윈,4,2,2,21:00,15:00,65000,110000,,,숙박 | 체크인 21:00 - 체크아웃 15:00,,1
17,5,커플PC,,2,2,2,20:00,15:00,70000,130000,,,숙박 | 체크인 20:00 - 체크아웃 15:00,,1
18,5,패밀리 트윈룸,,1,2,2,22:00,15:00,75000,140000,,,숙박 | 체크인 22:00 - 체크아웃 15:00,,1
19,6,일반,,3,2,2,16:00,14:00,40000,50000,,,숙박 | 체크인 16:00 - 체크아웃 14:00,,1
20,6,준특실,,4,2,2,16:00,14:00,45000,60000,,,숙박 | 체크인 16:00 - 체크아웃 14:00,,1
21,6,특실,,5,2,2,16:00,14:00,50000,70000,,,숙박 | 체크인 16:00 - 체크아웃 17:00,,1
22,7,일반,,4,2,2,13:00,15:00,30000,60000,,,숙박 | 체크인 13:00 - 체크아웃 15:00,,1
23,7,디럭스,,4,2,2,17:00,15:00,30000,60000,,,숙박 | 체크인 17:00 - 체크아웃 15:00,,1
24,7,프리미엄-커플,,2,2,2,17:00,14:00,35000,65000,,,숙박 | 체크인 17:00 - 체크아웃 14:00,,1
25,7,게이밍-커플,,2,2,2,17:00,14:00,40000,70000,,,숙박 | 체크인 17:00 - 체크아웃 14:00,,1
26,8,슈페리어,헐리우드,5,2,2,16:00,11:00,110000,205700,352000,352000,숙박 | 체크인 16:00 - 체크아웃 11:00%%2인 기준 최대 2인%%싱글침대 2개%%객실+욕실 / 8.29평,"침대, TV, 에어컨, 티테이블, 미니바, 전기포트, 샤워가운, 욕실용품, 비데, 헤어드라이기",1
27,8,슈페리어,더블,5,2,2,16:00,11:00,110000,205700,352000,352000,숙박 | 체크인 16:00 - 체크아웃 11:00%%2인 기준 최대 2인%%더블침대 1개%%객실+욕실 / 8.29평,"침대, TV, 에어컨, 티테이블, 미니바, 전기포트, 샤워가운, 욕실용품, 비데, 헤어드라이기",1
28,8,슈페리어,트윈,5,2,3,16:00,11:00,132000,224400,363000,363000,"숙박 | 체크인 16:00 - 체크아웃 11:00%%2인 기준 최대 3인%%싱글침대 1개, 더블침대 1개%%객실+욕실 / 8.3평","침대, TV, 에어컨, 티테이블, 미니바, 전기포트, 샤워가운, 욕실용품, 비데, 헤어드라이기",1
29,9,디럭스,더블,6,2,2,15:00,11:00,139500,139500,399300,399300,"숙박 | 체크인 15:00 - 체크아웃 11:00%%2인 기준 최대 2인%%킹침대 1개%%객실+욕실 / 10평%%킹베드 185X200cm / 취소,변경,환불 불가 상품","TV, 침대, 테이블, 에어컨, 미니바, 욕실용품",1
30,9,디럭스,트윈,5,2,2,15:00,11:00,139500,139500,399300,399300,"숙박 | 체크인 15:00 - 체크아웃 11:00%%2인 기준 최대 2인%%싱글침대 2개%%객실+욕실 / 10평%%세미싱글 135X200cm / 성인 4명 투숙 불가 / 취소,변경,환불 불가 상품","침대, TV, 테이블, 에어컨, 미니바, 욕실용품",1
31,9,디럭스,패밀리,6,2,3,15:00,11:00,167400,167400,449300,449300,"숙박 | 체크인 15:00 - 체크아웃 11:00%%3인 기준 최대 3인%%싱글침대 1개, 킹침대 1개%%객실+욕실 / 10평%%킹베드185X200cm/세미싱글135X200cm / 취소,변경,환불 불가 상품","침대, TV, 테이블, 에어컨, 미니바, 욕실용품",1
32,9,온돌,,3,2,2,15:00,11:00,167400,167400,469300,469300,"숙박 | 체크인 15:00 - 체크아웃 11:00%%2인 기준 최대 2인%%침구세트 1개%%객실+욕실 / 10평%%취소,변경,환불 불가 상품","침구류, TV, 테이블, 에어컨, 미니바, 욕실용품",1
33,10,스튜디오,일반,4,2,2,16:00,11:00,84900,84900,,,숙박 | 체크인 16:00 - 체크아웃 11:00%%2인 기준 최대 2인%%퀸침대 1개%%객실+욕실 / 7평,"주방, TV, 커피포트, 드럼세탁기, 건조기, 에어컨, 냉장고, 전자레인지, 조리도구, 드라이기, 욕실용품, 수건, 개별테라스",1
34,10,스튜디오,시티오션,4,2,2,16:00,11:00,350000,350000,,,숙박 | 체크인 16:00 - 체크아웃 11:00%%2인 기준 최대 2인%%퀸침대 1개%%객실+욕실 / 7평%%베드타입 : 퀸베드 1개,"주방, TV, 커피포트, 드럼세탁기, 건조기, 에어컨, 냉장고, 전자레인지, 조리도구, 드라이기, 욕실용품, 수건, 개별테라스",1
35,10,스튜디오,레이크오션,5,2,2,16:00,11:00,360000,360000,,,숙박 | 체크인 16:00 - 체크아웃 11:00%%2인 기준 최대 2인%%퀸침대 1개%%객실+욕실%%고층 배정 (12~20층) / 베드타입 : 퀸베드 1개,"주방, TV, 커피포트, 드럼세탁기, 건조기, 에어컨, 냉장고, 전자레인지, 조리도구, 드라이기, 욕실용품, 수건, 개별테라스",1
36,10,스튜디오,W,3,2,2,16:00,11:00,370000,370000,,,숙박 | 체크인 16:00 - 체크아웃 11:00%%2인 기준 최대 2인%%퀸침대 1개%%객실+거실+욕실 / 9평%%베드타입 : 퀸베드 1개,"주방, TV, 커피포트, 드럼세탁기, 건조기, 에어컨, 냉장고, 전자레인지, 조리도구, 드라이기, 욕실용품, 수건, 개별테라스",1
37,10,스튜디오,풀오션,3,2,2,16:00,11:00,390000,390000,,,숙박 | 체크인 16:00 - 체크아웃 11:00%%2인 기준 최대 2인%%퀸침대 1개%%객실+욕실 / 8평%%베드타입 : 퀸베드 1개,"주방, TV, 커피포트, 드럼세탁기, 건조기, 에어컨, 냉장고, 전자레인지, 조리도구, 드라이기, 욕실용품, 수건, 개별테라스",1
38,10,스튜디오,패밀리,2,3,4,16:00,11:00,400000,400000,,,"숙박 | 체크인 16:00 - 체크아웃 11:00%%3인 기준 최대 3인%%싱글침대 1개, 더블침대 1개%%객실+욕실%%침대구성:퀸베드1개+슈퍼싱글베드1개 / 해당 이미지와 객실 전망은 상이할 수 있습니다 (6~8층)","주방, TV, 커피포트, 드럼세탁기, 건조기, 에어컨, 냉장고, 전자레인지, 조리도구, 드라이기, 욕실용품, 수건, 개별테라스",1
39,11,슈페리어 더블,마운틴,4,2,2,15:00,11:00,80000,80000,,,숙박 | 체크인 15:00 - 체크아웃 11:00%%2인 기준 최대 2인%%더블침대 1개%%객실+욕실 / 9평%%추가패키지 : 웰컴드링크 2잔,"TV, 사무용책상, 의자, 개인금고, 커피포트, 옷장, 옷걸이, 스탠드, 독서등, 에어컨, 냉장고, 비데, 욕실용품, 목욕가운, 타월, 슬리퍼, 헤어드라이기",1
40,11,디럭스 더블,오션,4,2,2,15:00,11:00,90000,90000,,,숙박 | 체크인 15:00 - 체크아웃 11:00%%2인 기준 최대 2인%%더블침대 1개%%객실+욕실 / 9평%%추가패키지 : 웰컴드링크 2잔,"TV, 사무용책상, 의자, 개인금고, 커피포트, 옷장, 옷걸이, 스탠드, 독서등, 에어컨, 냉장고, 비데, 욕실용품, 목욕가운, 타월, 슬리퍼, 헤어드라이기",1
41,11,글램핑룸,수영패키지,4,4,4,15:00,11:00,600000,600000,,,숙박 | 체크인 15:00 - 체크아웃 11:00%%4인 기준 최대 4인%%침실+욕실%%더블베드1+2층침대1 / 외부음식 반입 불가 / 애완동물 동반 금지%%추가패키지 : 수영장 입장권 4인,"LED 43인치 TV, 에어컨, 냉장고, 사무용책상, 의자 , 전화기, 개인금고, 커피포트, 이중커튼, 옷장, 옷걸이, 슬리퍼, 스텐드, 독서등, 멀티콘센트",1
42,11,프리미어 더블,풀오션,4,2,2,15:00,11:00,120000,120000,,,숙박 | 체크인 15:00 - 체크아웃 11:00%%2인 기준 최대 2인%%객실+욕실 / 9평%%추가패키지 : 웰컴드링크 2잔,"TV, 사무용책상, 의자, 개인금고, 커피포트, 옷장, 옷걸이, 스탠드, 독서등, 에어컨, 냉장고, 비데, 욕실용품, 목욕가운, 타월, 슬리퍼, 헤어드라이기",1
43,11,프리미어 패밀리,풀오션,4,3,4,15:00,12:00,140000,140000,,,"숙박 | 체크인 15:00 - 체크아웃 12:00%%3인 기준 최대 4인 (유료)%%인원 추가시 비용이 발생되며, 현장에서 결제 바랍니다.%%싱글침대 2개, 더블침대 1개%%객실+욕실 / 10평%%추가패키지 : 요트 1인 증정(주간/노을) /  7~8월 투숙 시 조식&수영장 1인 제공 / BBQ 1만원 바우처","TV, 사무용책상, 의자, 개인금고, 커피포트, 옷장, 옷걸이, 스탠드, 독서등, 에어컨, 냉장고, 비데, 욕실용품, 목욕가운, 타월, 슬리퍼, 헤어드라이기",1
44,12,디럭스 더블,,2,2,3,15:00,11:00,550000,550000,,,"숙박 | 체크인 15:00 - 체크아웃 11:00%%2인 기준 최대 3인 (유료)%%인원 추가시 비용이 발생되며, 현장에서 결제 바랍니다.%%더블침대 1개",,1
45,12,디럭스 패밀리트윈,,4,2,3,15:00,11:00,550000,550000,,,"숙박 | 체크인 15:00 - 체크아웃 11:00%%2인 기준 최대 3인 (유료)%%인원 추가시 비용이 발생되며, 현장에서 결제 바랍니다.%%싱글침대 1개, 더블침대 1개",,1
46,12,패밀리 트윈,,3,2,3,15:00,11:00,500000,500000,,,"숙박 | 체크인 15:00 - 체크아웃 11:00%%2인 기준 최대 3인 (유료)%%인원 추가시 비용이 발생되며, 현장에서 결제 바랍니다.%%싱글침대 1개, 더블침대 1개%%객실+욕실 / 10평","TV, 티테이블, 전화기, 스탠드, 욕실용품",1
47,12,패밀리 온돌,,2,2,4,15:00,11:00,500000,500000,,,"숙박 | 체크인 15:00 - 체크아웃 11:00%%2인 기준 최대 4인 (유료)%%인원 추가시 비용이 발생되며, 현장에서 결제 바랍니다.%%침구세트 1개%%객실+욕실 / 9.98평%%침구 1인용 4채 셋팅(침구추가시22,000원) / 창문 없음","TV, 티테이블, 전화기, 스탠드, 욕실용품",1
